tmdb_id,title,release_date,release_year,release_month,genres,primary_genre,cast_names,cast_ids,budget,revenue,runtime,popularity,vote_average,vote_count,budget_log,revenue_log,budget_norm,revenue_norm
12,Finding Nemo,2003-05-30,2003,5,Animation|Family|Adventure,Animation,Albert Brooks|Ellen DeGeneres|Alexander Gould|Willem Dafoe|Geoffrey Rush,13|14|12|5293|118,94000000.0,940335536.0,100,17.0226,7.817,20421,8.206339236827155,9.206494231147193,0.17503646593040217,0.32162335602641745
16,Dancer in the Dark,2000-09-01,2000,9,Drama|Crime,Drama,Björk|Catherine Deneuve|David Morse|Peter Stormare|Joel Grey,47|50|52|53|6748,12500000.0,40061153.0,140,3.0415,7.845,1981,7.358906065559314,7.864719504255262,0.005209418628881017,0.01370049558548809
22,Pirates of the Caribbean: The Curse of the Black Pearl,2003-07-09,2003,7,Adventure|Fantasy|Action,Adventure,Johnny Depp|Geoffrey Rush|Orlando Bloom|Keira Knightley|Jack Davenport,85|118|114|116|1709,140000000.0,655011224.0,143,16.3728,7.821,22054,8.379339418597064,9.049460124371741,0.2708897687018129,0.2240332435413661
24,Kill Bill: Vol. 1,2003-10-10,2003,10,Action|Crime,Action,Uma Thurman|Lucy Liu|Vivica A. Fox|Daryl Hannah|David Carradine,139|140|2535|589|141,30000000.0,180906076.0,111,13.7499,7.972,18767,7.710332638847287,8.490664536029675,0.04167534903104814,0.06187399956126704
25,Jarhead,2005-11-04,2005,11,Drama|War,Drama,Jake Gyllenhaal|Jamie Foxx|Peter Sarsgaard|Scott MacDonald|Chris Cooper,131|134|133|132|2955,72000000.0,97076152.0,123,6.2652,6.682,3143,8.064659458872228,8.194439514683774,0.12919358199624922,0.03320146319229016
35,The Simpsons Movie,2007-07-25,2007,7,Animation|Comedy|Family,Animation,Dan Castellaneta|Julie Kavner|Nancy Cartwright|Yeardley Smith|Hank Azaria,198|199|200|5586|5587,75000000.0,527068851.0,87,6.7628,7.021,8487,8.056491167930984,8.903297253967494,0.13544488435090643,0.18027282759519747
38,Eternal Sunshine of the Spotless Mind,2004-03-19,2004,3,Science Fiction|Drama|Romance,Science Fiction,Jim Carrey|Kate Winslet|Kirsten Dunst|Mark Ruffalo|Elijah Wood,206|204|205|103|109,20000000.0,72258126.0,108,27.9943,8.091,16200,7.522827247930538,8.080683940569836,0.02083767451552407,0.02471289826061716
98357,Broken City,2013-01-18,2013,1,Thriller|Crime|Drama,Thriller,Mark Wahlberg|Russell Crowe|Catherine Zeta-Jones|Jeffrey Wright|Barry Pepper,13240|934|1922|2954|12834,56000000.0,34737199.0,109,2.8584,5.948,1561,7.878861308617199,7.671468081106823,0.09585330277141071,0.011879531693265548
32823,Get Him to the Greek,2010-06-03,2010,6,Adventure|Comedy|Music,Adventure,Jonah Hill|Russell Brand|Rose Byrne|Elisabeth Moss|Tyler McKinney,21007|59919|9827|32798|3856045,40000000.0,90029656.0,109,2.3818,5.978,1915,7.761433528460187,8.113759128949736,0.0625130235465722,0.030791334407802066
58,Pirates of the Caribbean: Dead Man's Chest,2006-07-06,2006,7,Adventure|Fantasy|Action,Adventure,Johnny Depp|Orlando Bloom|Keira Knightley|Jack Davenport|Bill Nighy,85|114|116|1709|2440,200000000.0,1066179747.0,151,16.6189,7.375,17015,8.49456867312196,9.221369105910172,0.39591581579495727,0.3646661329317466
