tmdb_id,title,release_date,release_year,release_month,genres,primary_genre,cast_names,cast_ids,budget,revenue,runtime,popularity,vote_average,vote_count,budget_log,revenue_log,budget_norm,revenue_norm,budget_adj,revenue_adj,est_profit_adj,profit_margin,revenue_ratio,actor_prestige_score,prestige_tier,budget_tier,outcome_label,release_window,marketing_ratio,est_marketing_budget
12,Finding Nemo,2003-05-30,2003,5,Animation|Family|Adventure,Animation,Albert Brooks|Ellen DeGeneres|Alexander Gould|Willem Dafoe|Geoffrey Rush,13|14|12|5293|118,94000000.0,940335536.0,100,17.0226,7.817,20421,8.206339236827155,9.206494231147193,0.17503646593040217,0.32162335602641745,160819696.0,1608771008.0,1367541464.0,5.669046342018538,10.004,8.467177996844438,A-list,High,Blockbuster,Summer,0.5,47000000.0
16,Dancer in the Dark,2000-09-01,2000,9,Drama|Crime,Drama,Björk|Catherine Deneuve|David Morse|Peter Stormare|Joel Grey,47|50|52|53|6748,12500000.0,40061153.0,140,3.0415,7.845,1981,7.358906065559314,7.864719504255262,0.005209418628881017,0.01370049558548809,22851045.0,73235138.0,33245809.25,0.8313670243839739,3.205,7.99057835766029,Rising,Low,Hit,Off-season,0.75,9375000.0
22,Pirates of the Caribbean: The Curse of the Black Pearl,2003-07-09,2003,7,Adventure|Fantasy|Action,Adventure,Johnny Depp|Geoffrey Rush|Orlando Bloom|Keira Knightley|Jack Davenport,85|118|114|116|1709,140000000.0,655011224.0,143,16.3728,7.821,22054,8.379339418597064,9.049460124371741,0.2708897687018129,0.2240332435413661,239518696.0,1120624529.0,785298354.6,2.341893996211708,4.679,8.35962275910626,A-list,Mega,Hit,Summer,0.4,56000000.0
24,Kill Bill: Vol. 1,2003-10-10,2003,10,Action|Crime,Action,Uma Thurman|Lucy Liu|Vivica A. Fox|Daryl Hannah|David Carradine,139|140|2535|589|141,30000000.0,180906076.0,111,13.7499,7.972,18767,7.710332638847287,8.490664536029675,0.04167534903104814,0.06187399956126704,51325435.0,309502767.0,219683255.75,2.44583000611685,6.03,7.613840993828256,Unknown,Low,Blockbuster,Off-season,0.75,22500000.0
25,Jarhead,2005-11-04,2005,11,Drama|War,Drama,Jake Gyllenhaal|Jamie Foxx|Peter Sarsgaard|Scott MacDonald|Chris Cooper,131|134|133|132|2955,72000000.0,97076152.0,123,6.2652,6.682,3143,8.064659458872228,8.194439514683774,0.12919358199624922,0.03320146319229016,116053825.0,156473038.0,-29213082.0,-0.1573250709315268,1.348,8.178583259003796,A-list,Mid,Flop,Holiday,0.6,43200000.0
35,The Simpsons Movie,2007-07-25,2007,7,Animation|Comedy|Family,Animation,Dan Castellaneta|Julie Kavner|Nancy Cartwright|Yeardley Smith|Hank Azaria,198|199|200|5586|5587,75000000.0,527068851.0,87,6.7628,7.021,8487,8.056491167930984,8.903297253967494,0.13544488435090643,0.18027282759519747,113891462.0,800381891.0,618155551.8,3.392240411094204,7.028,8.035943978465797,Rising,Mid,Blockbuster,Summer,0.6,45000000.0
38,Eternal Sunshine of the Spotless Mind,2004-03-19,2004,3,Science Fiction|Drama|Romance,Science Fiction,Jim Carrey|Kate Winslet|Kirsten Dunst|Mark Ruffalo|Elijah Wood,206|204|205|103|109,20000000.0,72258126.0,108,27.9943,8.091,16200,7.522827247930538,8.080683940569836,0.02083767451552407,0.02471289826061716,33329381.0,120415929.0,62089512.25,1.0645178584539055,3.613,8.18221539121577,A-list,Low,Hit,Off-season,0.75,15000000.0
98357,Broken City,2013-01-18,2013,1,Thriller|Crime|Drama,Thriller,Mark Wahlberg|Russell Crowe|Catherine Zeta-Jones|Jeffrey Wright|Barry Pepper,13240|934|1922|2954|12834,56000000.0,34737199.0,109,2.8584,5.948,1561,7.878861308617199,7.671468081106823,0.09585330277141071,0.011879531693265548,75659124.0,46931894.0,-74122704.4,-0.6123080443014381,0.62,8.238594770834597,A-list,Mid,Flop,Off-season,0.6,33600000.0
32823,Get Him to the Greek,2010-06-03,2010,6,Adventure|Comedy|Music,Adventure,Jonah Hill|Russell Brand|Rose Byrne|Elisabeth Moss|Tyler McKinney,21007|59919|9827|32798|3856045,40000000.0,90029656.0,109,2.3818,5.978,1915,7.761433528460187,8.113759128949736,0.0625130235465722,0.030791334407802066,57734250.0,129944867.0,37570067.0,0.40671337854046774,2.251,8.170497023425007,A-list,Mid,Break-even,Summer,0.6,24000000.0
58,Pirates of the Caribbean: Dead Man's Chest,2006-07-06,2006,7,Adventure|Fantasy|Action,Adventure,Johnny Depp|Orlando Bloom|Keira Knightley|Jack Davenport|Bill Nighy,85|114|116|1709|2440,200000000.0,1066179747.0,151,16.6189,7.375,17015,8.49456867312196,9.221369105910172,0.39591581579495727,0.3646661329317466,312297619.0,1664826982.0,1227610315.4,2.807784810552783,5.331,8.184301746061921,A-list,Mega,Blockbuster,Summer,0.4,80000000.0
59,A History of Violence,2005-09-23,2005,9,Drama|Thriller|Crime,Drama,Viggo Mortensen|Maria Bello|Ed Harris|William Hurt|Ashton Holmes,110|49|228|227|225,32000000.0,61477797.0,96,15.3327,7.165,3672,7.712476942631955,7.996045260076265,0.04584288393415295,0.021025678225417843,51579478.0,99093521.0,8829434.5,0.09781780154613319,1.921,8.149996102979207,Established,Low,Flop,Off-season,0.75,24000000.0
65,8 Mile,2002-11-08,2002,11,Drama|Music,Drama,Eminem|Kim Basinger|Mekhi Phifer|Brittany Murphy|Evan Jones,325|326|327|328|333,41000000.0,242875078.0,111,6.6037,7.1,7755,7.855781900048112,8.628380995162171,0.06459679099812461,0.08306939589246497,71743391.0,424992235.0,310202809.4,2.7023639832552657,5.924,7.6067395672963825,Unknown,Mid,Blockbuster,Holiday,0.6,24600000.0
