tmdb_id,title,release_date,genres,budget,revenue,runtime,popularity,vote_average,vote_count,original_language,tagline,overview,cast_names,cast_ids,release_year
12,Finding Nemo,2003-05-30,Animation|Family|Adventure,94000000,940335536,100,17.0226,7.817,20421,en,There are 3.7 trillion fish in the ocean. They're looking for one.,"Nemo, an adventurous young clownfish, is unexpectedly taken from his Great Barrier Reef home to a dentist's office aquarium. It's up to his worrisome father Marlin and a friendly but forgetful fish Dory to bring Nemo home -- meeting vegetarian sharks, surfer dude turtles, hypnotic jellyfish, hungry seagulls, and more along the way.",Albert Brooks|Ellen DeGeneres|Alexander Gould|Willem Dafoe|Geoffrey Rush,13|14|12|5293|118,2003
16,Dancer in the Dark,2000-09-01,Drama|Crime,12500000,40061153,140,3.0415,7.845,1981,en,"In a world of shadows, she found the light of life.","Selma, a Czech immigrant on the verge of blindness, struggles to make ends meet for herself and her son, who has inherited the same genetic disorder and will suffer the same fate without an expensive operation. When life gets too difficult, Selma learns to cope through her love of musicals, dreaming up little numbers to the rhythmic beats of her surroundings.",Björk|Catherine Deneuve|David Morse|Peter Stormare|Joel Grey,47|50|52|53|6748,2000
22,Pirates of the Caribbean: The Curse of the Black Pearl,2003-07-09,Adventure|Fantasy|Action,140000000,655011224,143,16.3728,7.821,22054,en,Prepare to be blown out of the water.,"When wily pirate Captain Barbossa seizes Jack Sparrow’s beloved ship, the Black Pearl, and kidnaps the governor’s daughter, Elizabeth Swann, blacksmith Will Turner reluctantly teams up with the unpredictable pirate Jack to rescue her—only to uncover a terrifying curse that turns Barbossa’s crew into the undead.",Johnny Depp|Geoffrey Rush|Orlando Bloom|Keira Knightley|Jack Davenport,85|118|114|116|1709,2003
24,Kill Bill: Vol. 1,2003-10-10,Action|Crime,30000000,180906076,111,13.7499,7.972,18767,en,Here comes the bride.,"An assassin is shot by her ruthless employer, Bill, and other members of their assassination circle – but she lives to plot her vengeance.",Uma Thurman|Lucy Liu|Vivica A. Fox|Daryl Hannah|David Carradine,139|140|2535|589|141,2003
25,Jarhead,2005-11-04,Drama|War,72000000,97076152,123,6.2652,6.682,3143,en,Welcome to the suck.,"Jarhead is a film about a US Marine Anthony Swofford’s experience in the Gulf War. After putting up with an arduous boot camp, Swofford and his unit are sent to the Persian Gulf where they are eager to fight, but are forced to stay back from the action. Swofford struggles with the possibility of his girlfriend cheating on him, and as his mental state deteriorates, his desire to kill increases.",Jake Gyllenhaal|Jamie Foxx|Peter Sarsgaard|Scott MacDonald|Chris Cooper,131|134|133|132|2955,2005
27,9 Songs,2004-07-16,Drama|Music|Romance,1000000,1574623,70,11.8237,5.531,572,en,"2 lovers, one summer, and the 9 songs that defined them.","Matt, a young glaciologist, soars across the vast, silent, icebound immensities of the South Pole as he recalls his love affair with Lisa. They meet at a mobbed rock concert in a vast music hall - London's Brixton Academy. They are in bed at night's end. Together, over a period of several months, they pursue a mutual sexual passion whose inevitable stages unfold in counterpoint to nine live-concert songs.",Kieran O'Brien|Margo Stilley|Courtney Taylor-Taylor|Alex Kapranos|Guy Garvey,176|177|1759241|1759261|1357012,2004
35,The Simpsons Movie,2007-07-25,Animation|Comedy|Family,75000000,527068851,87,6.7628,7.021,8487,en,See our family. And feel better about yours.,"After Homer accidentally pollutes the town's water supply, Springfield is encased in a gigantic dome by the EPA and the Simpsons are declared fugitives.",Dan Castellaneta|Julie Kavner|Nancy Cartwright|Yeardley Smith|Hank Azaria,198|199|200|5586|5587,2007
38,Eternal Sunshine of the Spotless Mind,2004-03-19,Science Fiction|Drama|Romance,20000000,72258126,108,27.9943,8.091,16200,en,You can erase someone from your mind. Getting them out of your heart is another story.,"Joel Barish, heartbroken that his girlfriend underwent a procedure to erase him from her memory, decides to do the same. However, as he watches his memories of her fade away, he realises that he still loves her, and may be too late to correct his mistake.",Jim Carrey|Kate Winslet|Kirsten Dunst|Mark Ruffalo|Elijah Wood,206|204|205|103|109,2004
294963,Bone Tomahawk,2015-10-23,Western|Horror|Drama,1800000,475846,133,4.14,6.9,2498,en,Death comes for all men.,"During a shootout in a saloon, Sheriff Hunt injures a suspicious stranger. The doctor's assistant, wife of the local foreman, tends to him in prison. That night, the town is attacked and they both disappear—only the arrow of a cannibal tribe is found. Hunt and a few of his men go in search of the prisoner and the foreman's wife.",Kurt Russell|Patrick Wilson|Richard Jenkins|Matthew Fox|Lili Simmons,6856|17178|28633|28657|1039525,2015
98357,Broken City,2013-01-18,Thriller|Crime|Drama,56000000,34737199,109,2.8584,5.948,1561,en,Proof Can Be a Powerful Weapon.,"In a broken city rife with injustice, ex-cop Billy Taggart seeks redemption and revenge after being double-crossed and then framed by its most powerful figure, the mayor. Billy's relentless pursuit of justice, matched only by his streetwise toughness, makes him an unstoppable force - and the mayor's worst nightmare.",Mark Wahlberg|Russell Crowe|Catherine Zeta-Jones|Jeffrey Wright|Barry Pepper,13240|934|1922|2954|12834,2013
32823,Get Him to the Greek,2010-06-03,Adventure|Comedy|Music,40000000,90029656,109,2.3818,5.978,1915,en,Aaron Green has 72 hours to get a rock star from London to L.A. Pray for him.,"Pinnacle records has the perfect plan to get their sinking company back on track: a comeback concert in LA featuring Aldous Snow, a fading rockstar who has dropped off the radar in recent years. Record company intern Aaron Green is faced with the monumental task of bringing his idol, out of control rock star Aldous Snow, back to LA for his comeback show.",Jonah Hill|Russell Brand|Rose Byrne|Elisabeth Moss|Tyler McKinney,21007|59919|9827|32798|3856045,2010
58,Pirates of the Caribbean: Dead Man's Chest,2006-07-06,Adventure|Fantasy|Action,200000000,1066179747,151,16.6189,7.375,17015,en,Captain Jack is back!,"Captain Jack Sparrow’s got a blood debt to pay: he owes his soul to the legendary Davy Jones, ghastly Ruler of the Ocean Depths. To escape eternal servitude aboard the Flying Dutchman, ever-crafty Jack must track down the still-beating heart of Jones. But he won’t do it alone: Will Turner and Elizabeth Swann are drawn back into another one of his perilous quests—assuming they can evade execution for aiding a pirate.",Johnny Depp|Orlando Bloom|Keira Knightley|Jack Davenport|Bill Nighy,85|114|116|1709|2440,2006
59,A History of Violence,2005-09-23,Drama|Thriller|Crime,32000000,61477797,96,15.3327,7.165,3672,en,Tom Stall had the perfect life...until he became a hero.,An average family is thrust into the spotlight after the father commits a seemingly self-defense murder at his diner.,Viggo Mortensen|Maria Bello|Ed Harris|William Hurt|Ashton Holmes,110|49|228|227|225,2005
524348,The Report,2019-09-12,Drama,8000000,275000,119,2.9414,7.041,1145,en,Truth matters,"The story of Daniel Jones, lead investigator for the US Senate’s sweeping study into the CIA's Detention and Interrogation Program, which was found to be brutal, immoral and ineffective. With the truth at stake, Jones battled tirelessly to make public what many in power sought to keep hidden.",Adam Driver|Annette Bening|Jon Hamm|Sarah Goldberg|Michael C. Hall,1023139|516|65717|1377686|53820,2019
65599,The Woman,2011-10-14,Drama|Horror,0,0,102,1.9622,6.039,583,en,Not every monster lives in the wild.,A lawyer puts his family in jeopardy when he captures the last member of a violent clan and tries to forcibly tame her.,Pollyanna McIntosh|Sean Bridgers|Angela Bettis|Lauren Ashley Carter|Zach Rand,92730|144160|32799|543726|543733,2011
65,8 Mile,2002-11-08,Drama|Music,41000000,242875078,111,6.6037,7.1,7755,en,Every moment is another chance.,"For Jimmy Smith, Jr., life is a daily fight just to keep hope alive. Feeding his dreams in Detroit's vibrant music scene, Jimmy wages an extraordinary personal struggle to find his own voice - and earn a place in a world where rhymes rule, legends are born and every moment… is another chance.",Eminem|Kim Basinger|Mekhi Phifer|Brittany Murphy|Evan Jones,325|326|327|328|333,2002
69,Walk the Line,2005-09-13,Drama|Music|Romance,28000000,186800000,136,3.6154,7.497,3110,en,Love is a burning thing.,"A chronicle of country music legend Johnny Cash's life, from his early days on an Arkansas cotton farm to his rise to fame with Sun Records in Memphis, where he recorded alongside Elvis Presley, Jerry Lee Lewis and Carl Perkins.",Joaquin Phoenix|Reese Witherspoon|Ginnifer Goodwin|Robert Patrick|Dallas Roberts,73421|368|417|418|424,2005
70,Million Dollar Baby,2004-12-05,Drama,30000000,216763646,132,6.6969,7.952,10275,en,"Beyond his silence, there is a past. Beyond her dreams, there is a feeling. Beyond hope, there is a memory. Beyond their journey, there is a love.","Despondent over a painful estrangement from his daughter, trainer Frankie Dunn isn't prepared for boxer Maggie Fitzgerald to enter his life. But Maggie's determined to go pro and to convince Dunn and his cohort to help her.",Clint Eastwood|Hilary Swank|Morgan Freeman|Jay Baruchel|Mike Colter,190|448|192|449|450,2004
71,Billy Elliot,2000-09-28,Drama|Comedy|Music,5000000,109280263,111,3.078,7.593,4050,en,Inside every one of us is a special talent waiting to come out. The trick is finding it.,"County Durham, England, 1984. The miners' strike has started and the police have started coming up from Bethnal Green, starting a class war with the lower classes suffering. Caught in the middle of the conflict is 11-year old Billy Elliot, who, after leaving his boxing club for the day, stumbles upon a ballet class and finds out that he's naturally talented. He practices with his teacher Mrs. Wilkinson for an upcoming audition in Newcastle-upon Tyne for the royal Ballet school in London.",Jamie Bell|Gary Lewis|Julie Walters|Jean Heywood|Jamie Draven,478|480|477|481|479,2000
74,War of the Worlds,2005-06-28,Adventure|Thriller|Science Fiction,132000000,603873119,117,8.0859,6.533,9081,en,They're already here.,"Ray Ferrier is a divorced dockworker and less-than-perfect father. Soon after his ex-wife and her new husband drop off his teenage son and young daughter for a rare weekend visit, a strange and powerful lightning storm touches down.",Tom Cruise|Dakota Fanning|Justin Chatwin|Miranda Otto|Tim Robbins,500|501|503|502|504,2005
77,Memento,2000-10-11,Mystery|Thriller,9000000,40060108,113,12.9179,8.2,16082,en,Some memories are best forgotten.,"Leonard Shelby is tracking down the man who raped and murdered his wife. The difficulty of locating his wife's killer, however, is compounded by the fact that he suffers from a rare, untreatable form of short-term memory loss. Although he can recall details of life before his accident, Leonard cannot remember what happened fifteen minutes ago, where he's going, or why.",Guy Pearce|Carrie-Anne Moss|Joe Pantoliano|Mark Boone Junior|Russ Fega,529|530|532|534|535,2000
426063,Nosferatu,2024-12-25,Horror|Fantasy,50000000,181764515,133,8.8942,6.71,3566,en,Succumb to the darkness.,"A gothic tale of obsession between a haunted young woman and the terrifying vampire infatuated with her, causing untold horror in its wake.",Lily-Rose Depp|Nicholas Hoult|Bill Skarsgård|Aaron Taylor-Johnson|Willem Dafoe,1459885|3292|137905|27428|5293,2024
80,Before Sunset,2004-06-16,Drama|Romance,2700000,15992615,80,3.4972,7.81,3751,en,What if you had a second chance with the one that got away?,"Nine years later, Jesse travels across Europe giving readings from a book he wrote about the night he spent in Vienna with Celine. After his reading in Paris, Celine finds him, and they spend part of the day together before Jesse has to again leave for a flight. They are both in relationships now, and Jesse has a son, but as their strong feelings for each other start to return, both confess a longing for more.",Ethan Hawke|Julie Delpy|Vernon Dobtcheff|Louise Lemoine Torrès|Rodolphe Pauly,569|1146|649|651|654,2004
524369,The Many Saints of Newark,2021-09-22,Crime|Drama,50000000,13037403,120,2.2543,6.307,743,en,Who made Tony Soprano?,"Young Anthony Soprano is growing up in one of the most tumultuous eras in Newark, N.J., history, becoming a man just as rival gangsters start to rise up and challenge the all-powerful DiMeo crime family. Caught up in the changing times is the uncle he idolizes, Dickie Moltisanti, whose influence over his nephew will help shape the impressionable teenager into the all-powerful mob boss, Tony Soprano.",Alessandro Nivola|Leslie Odom Jr.|Michael Gandolfini|Ray Liotta|Michela De Rossi,4941|1254614|1900369|11477|1977918,2021
82,Miami Vice,2006-07-27,Action|Crime|Thriller,135000000,163800000,132,3.5196,6.0,1938,en,No Law. No Rules. No Order.,"A case involving drug lords and murder in South Florida takes a personal turn for undercover detectives Sonny Crockett and Ricardo Tubbs. Unorthodox Crockett gets involved romantically with the Chinese-Cuban wife of a trafficker of arms and drugs, while Tubbs deals with an assault on those he loves.",Colin Farrell|Jamie Foxx|Naomie Harris|Gong Li|John Ortiz,72466|134|2038|643|40543,2006
83,Open Water,2004-08-06,Horror|Thriller,120000,54683487,80,1.9387,5.549,1124,en,Scream all you want.,"Two divers are left out at sea without a boat. There’s nothing but water for miles, unless they look at what’s underneath them...",Blanchard Ryan|Daniel Travis|Saul Stein|Michael E. Williamson|Cristina Zenato,644|646|1187|1420204|590483,2004
32856,Valentine's Day,2010-02-10,Comedy|Romance,52000000,216528528,125,4.0978,5.92,3147,en,A love story. More or less.,Intertwining couples and singles in Los Angeles break-up and make-up based on the pressures and expectations of Valentine's Day.,Ashton Kutcher|Jamie Foxx|Jennifer Garner|Bradley Cooper|Julia Roberts,18976|134|9278|51329|1204,2010
98,Gladiator,2000-05-04,Action|Drama|Adventure,103000000,465516248,155,16.805,8.224,20718,en,What we do in life echoes in eternity.,"After the death of Emperor Marcus Aurelius, his devious son takes power and demotes Maximus, one of Rome's most capable generals who Marcus preferred. Eventually, Maximus is forced to become a gladiator and battle to the death against other men for the amusement of paying audiences.",Russell Crowe|Joaquin Phoenix|Connie Nielsen|Oliver Reed|Richard Harris,934|73421|935|936|194,2000
107,Snatch,2000-09-01,Crime|Comedy,100000000,83557872,103,8.6575,7.819,9874,en,Stealin' stones and breakin' bones.,"Unscrupulous boxing promoters, violent bookies, a Russian gangster, incompetent amateur robbers, and supposedly Jewish jewellers fight to track down a priceless stolen diamond.",Jason Statham|Alan Ford|Stephen Graham|Brad Pitt|Dennis Farina,976|1116|1115|287|1117,2000
950386,Black Karen,2022-01-23,Comedy,0,0,13,1.63,4.5,2,en,,"The story of one Black woman who, on the advice of a therapist to treat anxiety by thinking and behaving as happy people do, notices that white people seem pretty happy.",Bresha Webb|Cedric the Entertainer|Katherine LaNasa|David A. Goodman|Carmen Hodgson,1377385|5726|169337|4646005|1799441,2022
116,Match Point,2005-10-26,Drama|Romance|Thriller,15000000,85638656,124,4.8335,7.359,4346,en,There are no little secrets.,"Chris, a former tennis pro, takes a job as an instructor and befriends his wealthy young student, Tom. After being introduced to his family, Chris is soon engaged to Tom's sister, Chloe. Despite the professional and financial advantages that this relationship affords him, Chris becomes obsessed with Tom's fiancee, American actress Nola.",Jonathan Rhys Meyers|Scarlett Johansson|Emily Mortimer|Matthew Goode|Brian Cox,1244|1245|1246|1247|1248,2005
