tmdb_id,title,release_date,genres,budget,revenue,runtime,popularity,vote_average,vote_count,original_language,cast_names,cast_ids,release_year
8193,Napoleon Dynamite,2004-06-11,Comedy,400000,46118097,95,3.4054,6.783,2127,en,Jon Heder|Efren Ramirez|Tina Majorino|Aaron Ruell|Jon Gries,53926|20190|53930|53927|9629,2004
8198,The Quiet American,2002-11-22,Romance|Thriller|Drama|War,30000000,27674124,101,1.5456,6.545,325,en,Michael Caine|Brendan Fraser|Đỗ Thị Hải Yến|Tzi Ma|Rade Šerbedžija,3895|18269|53962|21629|1118,2002
614409,To All the Boys: Always and Forever,2021-02-12,Romance|Comedy|Drama,0,0,114,2.8253,7.502,2054,en,Lana Condor|Noah Centineo|Janel Parrish|Anna Cathcart|Ross Butler,1452046|1253353|93377|1683266|1299232,2021
16394,Winnie the Pooh: Springtime with Roo,2004-03-09,Adventure|Animation|Comedy|Family,0,0,65,1.857,6.7,192,en,Jim Cummings|Ken Sansom|Jimmy Bennett|David Ogden Stiers|John Fiedler,12077|77482|6860|28010|5247,2004
8202,Æon Flux,2005-11-30,Science Fiction|Action|Thriller,62000000,53321673,93,4.0331,5.637,2432,en,Charlize Theron|Marton Csokas|Jonny Lee Miller|Sophie Okonedo|Frances McDormand,6885|20982|9012|2598|3910,2005
12,Finding Nemo,2003-05-30,Animation|Family|Adventure,94000000,940335536,100,16.2188,7.817,20429,en,Albert Brooks|Ellen DeGeneres|Alexander Gould|Willem Dafoe|Geoffrey Rush,13|14|12|5293|118,2003
8204,The Spiderwick Chronicles,2008-02-14,Family|Adventure|Fantasy|Drama,90000000,164200000,95,5.7303,6.684,2816,en,Freddie Highmore|Sarah Bolger|David Strathairn|Mary-Louise Parker|Nick Nolte,1281|33397|11064|18248|1733,2008
581644,The Misfits,2021-06-03,Action|Thriller,0,0,94,3.0539,5.444,503,en,Pierce Brosnan|Tim Roth|Nick Cannon|Rami Jaber|Jamie Chung,517|3129|36811|1576693|78324,2021
16,Dancer in the Dark,2000-09-01,Drama|Crime,12500000,40061153,140,3.1954,7.847,1984,en,Björk|Catherine Deneuve|David Morse|Peter Stormare|Joel Grey,47|50|52|53|6748,2000
24593,Thinking XXX,2004-10-27,Documentary,0,0,58,1.6357,5.4,103,en,Jenna Jameson|Ron Jeremy|Tera Patrick|Belladonna|Sunrise Adams,26223|42545|105276|76575|143297,2004
20,My Life Without Me,2003-03-07,Drama|Romance,2500000,12300000,106,1.4719,6.084,498,en,Sarah Polley|Amanda Plummer|Scott Speedman|Mark Ruffalo|Leonor Watling,98|99|100|103|101,2003
16405,Dust,2001-08-29,Action|Drama|Romance|Western,0,0,127,1.3963,5.3,30,en,Joseph Fiennes|David Wenham|Adrian Lester|Rosemary Murphy|Nikolina Kujača,12763|1371|76215|8492|80516,2001
22,Pirates of the Caribbean: The Curse of the Black Pearl,2003-07-09,Adventure|Fantasy|Action,140000000,655011224,143,16.6911,7.821,22067,en,Johnny Depp|Geoffrey Rush|Orlando Bloom|Keira Knightley|Jack Davenport,85|118|114|116|1709,2003
24,Kill Bill: Vol. 1,2003-10-10,Action|Crime,30000000,180906076,111,13.7184,7.972,18787,en,Uma Thurman|Lucy Liu|Vivica A. Fox|Daryl Hannah|David Carradine,139|140|2535|589|141,2003
25,Jarhead,2005-11-04,Drama|War,72000000,97076152,123,5.2289,6.681,3144,en,Jake Gyllenhaal|Jamie Foxx|Peter Sarsgaard|Scott MacDonald|Chris Cooper,131|134|133|132|2955,2005
122906,About Time,2013-09-04,Drama|Romance|Fantasy,12000000,87100449,123,8.2215,7.908,9182,en,Domhnall Gleeson|Rachel McAdams|Bill Nighy|Tom Hollander|Margot Robbie,93210|53714|2440|2441|234352,2013
27,9 Songs,2004-07-16,Drama|Music|Romance,1000000,1574623,70,11.9084,5.531,572,en,Kieran O'Brien|Margo Stilley|Courtney Taylor-Taylor|Alex Kapranos|Guy Garvey,176|177|1759241|1759261|1357012,2004
